icd3	I48
icd3	I50
icd3	I21
icd3	I26
icd3	I63
icd3	I80
icd3	I82
icd3	I95
icd3	R57
icd3	J18
icd3	J96
icd3	J69
icd3	J93
icd3	J94
icd3	J95
icd3	N17
icd3	N18
icd3	N19
icd3	N13
icd3	N39
icd3	K72
icd3	K76
icd3	K71
icd3	D61
icd3	D62
icd3	D68
icd3	D69
icd3	D70
icd3	D72
icd3	A41
icd3	R65
icd3	B37
icd3	B95
icd3	B96
icd3	T85
icd3	G93
icd3	R40
icd3	G40
icd3	F05
icd3	G89
icd3	E86
icd3	E87
icd3	E83
icd3	E88
icd3	E16
icd3	E11
icd3	K25
icd3	K56
icd3	K63
icd3	K65
icd3	K92
icd3	K91
icd3	K59
icd3	L89
icd3	L03
icd3	R53
icd3	R50
icd3	R64
icd3	E46
icd3	E43
icd3	M62
icd3	M79
icd3	T81
icd3	T88
icd3	Z51
icd3	F10
icd3	F32
icd3	F41
icd3	I10
icd3	E78
icd3	N40
icd3	M81
icd3	J44
icd3	E66
icd3	I25
icd3	E55
icd3	K21
icd3	J45
icd3	I73
icd3	M10
icd3	D50
icd3	N20
icd3	K80
icd3	G47
icd3	H35
icd3	I49
icd3	M17
icd3	M16
icd3	E04
icd3	G43
icd3	K29
icd3	H66
icd3	R97
icd3	R79
icd3	R82
icd3	R71
icd3	R73
icd3	R74
icd3	R77
icd3	R78
icd3	R80
icd3	R87
icd3	R89
icd3	D75
icd4	I48.0
icd4	I48.1
icd4	I48.2
icd4	I82.4
icd4	J69.0
icd4	J94.8
icd4	K59.0
icd4	K63.1
icd4	K65.1
icd4	K91.8
icd4	N39.0
icd4	I95.1
icd4	I95.2
icd4	I95.8
icd4	E11.6
icd4	E16.2
icd4	F10.2
icd4	G89.1
icd4	G89.2
icd4	G89.3
icd4	L89.1
icd4	L89.3
icd4	B37.0
icd4	B95.6
icd4	B96.2
icd4	Z51.1
icd4	Z51.5
icd4	R50.8
icd4	E83.5
icd4	E88.0
icd4	M62.8
icd4	M79.1
icd4	R53.0
icd4	R53.8
icd4	I50.2
icd4	I50.3
icd4	I50.4
icd4	I21.4
icd4	I26.9
icd4	I63.4
icd4	I63.5
icd4	J18.1
icd4	J18.9
icd4	J96.0
icd4	J96.1
icd4	J96.2
icd4	J95.8
icd4	N17.0
icd4	N17.9
icd4	N18.3
icd4	N18.4
icd4	N18.6
icd4	K72.9
icd4	K76.6
icd4	D61.8
icd4	D69.3
icd4	D69.5
icd4	D69.6
icd4	D70.1
icd4	D70.2
icd4	A41.5
icd4	A41.9
icd4	R65.2
icd4	G93.4
icd4	G93.6
icd4	E86.0
icd4	E87.1
icd4	E87.2
icd4	E87.5
icd4	E87.6
icd4	K56.6
icd4	K92.0
icd4	K92.1
icd4	K92.2
icd4	T81.4
icd4	R97.0
icd4	R97.1
icd4	R97.2
icd4	R97.8
icd4	R79.0
icd4	R79.1
icd4	R79.8
icd4	R82.7
icd4	R82.8
icd4	R71.8
icd4	R73.0
icd4	R73.9
icd4	R74.0
icd4	R74.8
phecode	427.2
phecode	428
phecode	411.4
phecode	433.21
phecode	458
phecode	785.5
phecode	480
phecode	518.4
phecode	507
phecode	512
phecode	511.8
phecode	585
phecode	584
phecode	591
phecode	599
phecode	571.2
phecode	570
phecode	572.2
phecode	284.1
phecode	285.1
phecode	287.1
phecode	287.3
phecode	288
phecode	038
phecode	995.91
phecode	112
phecode	041
phecode	348
phecode	780.01
phecode	338
phecode	276.5
phecode	276.1
phecode	275.4
phecode	251.2
phecode	250.2
phecode	531
phecode	560
phecode	567
phecode	578
phecode	997.4
phecode	564
phecode	780.79
phecode	780.6
phecode	783.21
phecode	260
phecode	728
phecode	729.1
phecode	58
phecode	317
phecode	296.2
phecode	300
phecode	401.1
phecode	272.1
phecode	600
phecode	733
phecode	496
phecode	278.1
phecode	411.8
phecode	268
phecode	530.1
phecode	495
phecode	443.9
phecode	274.1
phecode	280.1
phecode	592
phecode	574
phecode	327
phecode	427.89
phecode	715.1
phecode	240
phecode	339.1
phecode	535
phecode	560.2
phecode	790.93
phecode	790.94
phecode	790.6
phecode	791
phecode	790.21
phecode	790.29
phecode	790.4
phecode	790.5
phecode	289.9
phecode	486
phecode	518.81
death_met	death
death_met	adrenalM
death_met	boneM
death_met	brainM
death_met	liverM
death_met	lungM
death_met	nodeM
death_met	peritonealM
